sku,name,category,cost_price,weight_kg,supplier,launch_date
VH-1000,Slate Salad Bowl,Tableware,8.34,2.2,Aureli SRL,2024-11-05
VH-1001,Ceramic Pasta Bowl Set,Tableware,,0.64,Northwind Supply Co,2020-05-17
VH-1002,Linen Platter,Tableware,19.54,2.55,Baltic & Byrne,2026-02-11
VH-1003,Borosilicate Bread Bin,Storage,10.49,0.56,Meridian Homeware,2026-03-14
VH-1004,Ceramic Nesting Bowls,Storage,8.94,0.46,Meridian Homeware,2019-01-14
VH-1005,Stoneware Frying Pan,Cookware,32.66,1.05,Aureli SRL,2024-01-06
VH-1006,Acacia Placemat Set,Textiles,6.78,0.65,Meridian Homeware,2025-04-01
VH-1007,Slate Loaf Tin,Bakeware,5.23,0.96,Northwind Supply Co,2026-02-07
VH-1008,Melamine Muffin Tray,Bakeware,12.56,0.85,Meridian Homeware,2025-06-02
VH-1009,Stainless Steel Muffin Tray,Bakeware,12.48,0.66,Baltic & Byrne,2022-06-04
VH-1010,Cast Iron Cake Tin,Bakeware,4.28,0.47,Aureli SRL,2026-04-13
VH-1011,Bamboo Stock Pot,Cookware,36.58,2.43,Meridian Homeware,2025-12-11
VH-1012,Acacia Hand Blender,Small Appliances,20.5,1.31,Meridian Homeware,2022-11-10
VH-1013,Acacia Dinner Plate Set,Tableware,19.22,1.88,Northwind Supply Co,2024-07-28
VH-1014,Enamel Tumbler Set,Drinkware,7.19,0.71,Meridian Homeware,2023-05-11
VH-1015,Linen Frying Pan,Cookware,37.7,1.45,Kestrel Trading Ltd,2019-12-06
VH-1016,Cast Iron Loaf Tin,Bakeware,10.19,1.06,Meridian Homeware,2025-06-23
VH-1017,Acacia Apron,Textiles,9.33,0.49,Lumen Goods,2024-05-23
VH-1018,Melamine Turner,Utensils,4.77,0.44,Lumen Goods,2026-01-27
VH-1019,Bamboo Kitchen Utensil Set,Utensils,14.0,0.4,Meridian Homeware,2020-01-11
VH-1020,Stoneware Mug Set,Drinkware,10.9,1.19,Baltic & Byrne,2020-10-09
VH-1021,Stainless Steel Placemat Set,Textiles,9.78,0.26,Aureli SRL,2026-04-09
VH-1022,Borosilicate Dinner Plate Set,Tableware,,1.11,Lumen Goods,2024-08-11
VH-1023,Enamel Electric Kettle,Small Appliances,43.74,0.89,Meridian Homeware,2022-03-06
VH-1024,Melamine Tumbler Set,Drinkware,6.43,0.76,Lumen Goods,2020-12-12
VH-1025,Acacia Storage Jar,Storage,13.26,1.45,Northwind Supply Co,2023-10-24
VH-1026,Stainless Steel Bread Bin,Storage,7.33,0.68,Aureli SRL,2026-02-11
VH-1027,Marble Water Bottle,Drinkware,6.05,0.72,Meridian Homeware,2020-11-30
VH-1028,Bamboo Balloon Whisk,Utensils,7.85,0.28,Meridian Homeware,2019-10-03
VH-1029,Marble Placemat Set,Textiles,11.75,0.36,Kestrel Trading Ltd,2024-10-03
VH-1030,Cast Iron Grill Pan,Cookware,37.92,3.0,Lumen Goods,2022-08-21
VH-1031,Terracotta Frying Pan,Cookware,17.58,2.68,Aureli SRL,2024-11-29
VH-1032,Cast Iron Baking Sheet,Bakeware,4.25,0.67,Meridian Homeware,2021-05-18
VH-1033,Terracotta Placemat Set,Textiles,4.66,0.5,Aureli SRL,2019-10-30
VH-1034,Glass Storage Jar Set of 6,Storage,23.0,0.65,Meridian Homeware,2024-07-02
VH-1035,Ceramic Salad Bowl,Tableware,15.8,1.16,Kestrel Trading Ltd,2021-05-15
VH-1036,Slate Hand Blender,Small Appliances,24.16,1.01,Meridian Homeware,2024-06-20
VH-1037,Bamboo Wine Glasses,Drinkware,9.07,0.85,Baltic & Byrne,2022-12-26
VH-1038,Bamboo Grill Pan,Cookware,37.66,1.27,Meridian Homeware,2020-05-19
VH-1039,Ceramic Placemat Set,Textiles,10.85,0.29,Aureli SRL,2024-08-10
VH-1040,Marble Pantry Box,Storage,8.8,0.92,Kestrel Trading Ltd,2021-09-18
VH-1041,Oak Mug Set,Drinkware,5.48,1.16,Baltic & Byrne,2021-03-01
VH-1042,Enamel Water Bottle,Drinkware,9.91,0.62,Aureli SRL,2021-03-21
VH-1043,Stoneware Pantry Box,Storage,6.64,0.57,Northwind Supply Co,2024-10-19
VH-1044,Enamel Platter,Tableware,22.12,1.84,Aureli SRL,2024-02-21
VH-1045,Ceramic Table Runner,Textiles,11.73,0.25,Baltic & Byrne,2025-06-26
VH-1046,Acacia Platter,Tableware,10.08,1.55,Lumen Goods,2021-06-26
VH-1047,Copper Grill Pan,Cookware,26.44,1.29,Baltic & Byrne,2022-11-03
VH-1048,Oak Wine Glasses,Drinkware,3.23,0.9,Baltic & Byrne,2021-03-25
VH-1049,Stoneware Pasta Bowl Set,Tableware,21.22,0.98,Aureli SRL,2025-04-18
VH-1050,Copper Mug Set,Drinkware,3.81,0.73,Aureli SRL,2021-04-04
VH-1051,Marble Ladle,Utensils,2.71,0.48,Kestrel Trading Ltd,2019-05-16
VH-1052,Terracotta Saute Pan,Cookware,27.56,2.54,Aureli SRL,2021-11-05
VH-1053,Cast Iron Casserole 5L,Cookware,23.5,3.7,Kestrel Trading Ltd,2025-01-11
VH-1054,Acacia Tumbler Set,Drinkware,8.38,0.7,Northwind Supply Co,2022-08-16
VH-1055,Borosilicate Frying Pan,Cookware,27.99,1.66,Kestrel Trading Ltd,2024-04-17
VH-1056,Ceramic Spatula Set,Utensils,8.74,0.42,Lumen Goods,2019-08-29
VH-1057,Stainless Steel Stand Mixer,Small Appliances,49.0,4.2,Baltic & Byrne,2021-06-09
VH-1058,Stoneware Tea Towel Set,Textiles,9.98,0.26,Meridian Homeware,2025-04-05
VH-1059,Slate Placemat Set,Textiles,8.27,0.49,Aureli SRL,2021-09-16
VH-1060,Stoneware Loaf Tin,Bakeware,13.34,0.81,Aureli SRL,2024-09-16
VH-1061,Enamel Salad Bowl,Tableware,15.93,2.31,Kestrel Trading Ltd,2023-10-17
VH-1062,Melamine Mug Set,Drinkware,3.9,0.39,Aureli SRL,2020-02-13
VH-1063,Borosilicate Canister Set,Storage,17.02,0.64,Aureli SRL,2022-02-26
VH-1064,Slate Platter,Tableware,18.0,1.64,Aureli SRL,2019-05-27
VH-1065,Melamine Table Runner,Textiles,5.45,0.4,Meridian Homeware,2023-05-14
VH-1066,Enamel Grill Pan,Cookware,36.53,2.84,Meridian Homeware,2025-04-14
VH-1067,Oak Grill Pan,Cookware,19.6,1.61,Aureli SRL,2019-12-02
VH-1068,Stainless Steel Baking Sheet,Bakeware,7.84,0.66,Baltic & Byrne,2025-08-27
VH-1069,Stoneware Grill Pan,Cookware,33.98,2.87,Meridian Homeware,2019-03-28
VH-1070,Borosilicate Grill Pan,Cookware,31.9,1.71,Kestrel Trading Ltd,2020-04-07
VH-1071,Bamboo Electric Kettle,Small Appliances,41.77,2.66,Baltic & Byrne,2020-04-05
VH-1072,Melamine Grill Pan,Cookware,,2.99,Baltic & Byrne,2024-09-19
VH-1073,Bamboo Storage Jar,Storage,15.67,1.43,Meridian Homeware,2023-11-20
VH-1074,Copper Loaf Tin,Bakeware,7.23,0.31,Lumen Goods,2023-08-11
VH-1075,Marble Platter,Tableware,22.02,1.42,Lumen Goods,2023-05-21
VH-1076,Oak Placemat Set,Textiles,8.8,0.69,Baltic & Byrne,2019-09-18
VH-1077,Copper Dinner Plate Set,Tableware,23.68,1.02,Aureli SRL,2025-12-14
VH-1078,Stoneware Water Bottle,Drinkware,4.5,1.37,Aureli SRL,2026-04-19
VH-1079,Linen Loaf Tin,Bakeware,8.53,1.06,Northwind Supply Co,2024-10-14
VH-1080,Enamel Frying Pan,Cookware,27.74,1.48,Lumen Goods,2021-10-31
VH-1081,Ceramic Dinner Set 12-Piece,Tableware,29.0,5.3,Meridian Homeware,2022-02-26
VH-1082,Oak Nesting Bowls,Storage,7.68,0.56,Kestrel Trading Ltd,2026-02-06
VH-1083,Stainless Steel Serving Board,Tableware,11.15,0.67,Meridian Homeware,2020-05-12
VH-1084,Acacia Saucepan,Cookware,32.3,2.71,Kestrel Trading Ltd,2023-08-23
VH-1085,Bamboo Cake Tin,Bakeware,7.08,0.44,Lumen Goods,2021-04-19
VH-1086,Borosilicate Spatula Set,Utensils,5.95,0.51,Kestrel Trading Ltd,2021-03-16
VH-1087,Marble Turner,Utensils,8.75,0.14,Baltic & Byrne,2022-02-20
VH-1088,Borosilicate Pasta Bowl Set,Tableware,15.75,1.42,Northwind Supply Co,2020-05-04
VH-1089,Bamboo Ladle,Utensils,6.88,0.33,Northwind Supply Co,2025-05-22
VH-1090,Borosilicate Turner,Utensils,3.0,0.46,Baltic & Byrne,2025-01-23
VH-1091,Oak Salad Bowl,Tableware,,2.07,Aureli SRL,2020-03-25
VH-1092,Ceramic Pantry Box,Storage,13.47,1.1,Northwind Supply Co,2022-12-19
VH-1093,Enamel Mug Set,Drinkware,7.43,1.02,Kestrel Trading Ltd,2021-02-24
VH-1094,Terracotta Turner,Utensils,4.03,0.28,Baltic & Byrne,2025-12-01
VH-1095,Copper Frying Pan,Cookware,19.47,1.21,Kestrel Trading Ltd,2026-01-31
VH-1096,Ceramic Frying Pan,Cookware,16.89,1.44,Aureli SRL,2023-01-22
VH-1097,Copper Apron,Textiles,8.41,0.37,Lumen Goods,2024-10-02
VH-1098,Enamel Ladle,Utensils,6.57,0.5,Baltic & Byrne,2019-07-10
VH-1099,Slate Water Bottle,Drinkware,9.55,0.95,Meridian Homeware,2026-05-03
VH-1100,Stoneware Saute Pan,Cookware,21.7,2.12,Meridian Homeware,2026-01-17
VH-1101,Cast Iron Electric Kettle,Small Appliances,24.83,2.49,Baltic & Byrne,2021-09-27
VH-1102,Stoneware Electric Kettle,Small Appliances,39.15,1.96,Kestrel Trading Ltd,2019-11-25
VH-1103,Stoneware Spatula Set,Utensils,7.9,0.17,Northwind Supply Co,2023-01-10
VH-1104,Borosilicate Carafe,Drinkware,5.98,1.12,Aureli SRL,2024-09-13
VH-1105,Terracotta Carafe,Drinkware,3.45,0.7,Baltic & Byrne,2019-01-15
VH-1106,Copper Turner,Utensils,4.44,0.38,Baltic & Byrne,2025-07-07
VH-1107,Copper Pasta Bowl Set,Tableware,21.04,1.41,Meridian Homeware,2022-04-19
VH-1108,Melamine Saucepan,Cookware,37.27,0.97,Kestrel Trading Ltd,2025-11-21
VH-1109,Stoneware Tumbler Set,Drinkware,9.41,1.15,Aureli SRL,2023-06-13
VH-1110,Enamel Bread Bin,Storage,16.42,0.68,Aureli SRL,2022-02-27
VH-1111,Terracotta Apron,Textiles,4.16,0.49,Kestrel Trading Ltd,2024-09-06
VH-1112,Borosilicate Food Chopper,Small Appliances,14.44,1.52,Northwind Supply Co,2020-09-15
VH-1113,Bamboo Turner,Utensils,4.96,0.18,Northwind Supply Co,2019-11-20
VH-1114,Stoneware Serving Board,Tableware,22.57,1.66,Northwind Supply Co,2021-02-22
VH-1115,Bamboo Saucepan,Cookware,28.69,1.91,Baltic & Byrne,2026-03-25
VH-1116,Stainless Steel Stock Pot,Cookware,34.7,2.0,Kestrel Trading Ltd,2022-10-04
VH-1117,Enamel Tea Towel Set,Textiles,10.66,0.79,Lumen Goods,2020-12-11
VH-1118,Marble Salad Bowl,Tableware,11.05,2.33,Northwind Supply Co,2024-10-18
VH-1119,Bamboo Serving Spoon,Utensils,3.44,0.29,Meridian Homeware,2024-09-17
